Date,Saturday,Amount,Description,Financial goals and Savings,Debit,Need
1-19-25,Sunday,39.94,gas,Travel,Debit,Need
1-21-25,Tuesday,20.83,panda exp,Food,Debit,Want
1-25-25,Saturday,23.63,in n out,Food,Debit,Want
1-27-25,Monday,23.70,uber eats,Food,Debit,Want
1-27-25,Monday,123.05,thread beast,Entertainment and Recreation,Debit,Want
1-28-25,Tuesday,10.99,playstation,Entertainment and Recreation,Debit,Want
1-30-25,Thursday,15,kaiser,Bills,Debit,Need
1-30-25,Thursday,19.93,kaiser,Bills,Debit,Need
1-31,Friday,80.05,lazy dog,Food,Debit,Want
2-2-25,Sunday,93.47,amazon,Entertainment and Recreation,Debit,Need